Index,Sentence,Top_Intent,Top_Confidence,All_Intents,All_Confidence_Scores
13,Someone just called me from the shop and made an appointment over the phone for Friday at 7:15am. Thank you so much.,schedule_new_appointment,0.999,"schedule_new_appointment, propose_time_slot, confirm_existing_appointment, check_availability","0.999, 0.996, 0.992, 0.712"
14,I made an appointment on the 3rd Feb 2023,schedule_new_appointment,0.991,"schedule_new_appointment, confirm_existing_appointment, check_availability, propose_time_slot","0.991, 0.991, 0.966, 0.938"
15,Ana this is Sharon I was in Danvers and made an appointment for Thursday February 1st at 11:30.,schedule_new_appointment,0.999,"schedule_new_appointment, confirm_existing_appointment, propose_time_slot, check_availability","0.999, 0.992, 0.991, 0.954"
16,"Thanks for the reminders Ana we appreciate it but us old folks do not enjoy to communicate as messaging so kindly stop or opt out of texting ok.
I did call though and made an appointment for March 28 at 11:00. Enjoy your day !!!!!!! 
Frank & Dot",schedule_new_appointment,0.994,"schedule_new_appointment, propose_time_slot, confirm_existing_appointment","0.994, 0.984, 0.945"
17,"I made an appointment through Annalise for March 7, 2024 at 9:30AM. Thank you!+",schedule_new_appointment,0.999,"schedule_new_appointment, confirm_existing_appointment, propose_time_slot, check_availability","0.999, 0.994, 0.991, 0.884"
18,Hi Ana. I was contacted this week from someone else and made an appointment for this Saturday.,schedule_new_appointment,0.999,"schedule_new_appointment, propose_time_slot, confirm_existing_appointment, check_availability","0.999, 0.988, 0.918, 0.905"
19,Hi Ana! I have only been using it for 10 months. Yesterday I made an appointment for 1/22 at 7 am.,schedule_new_appointment,0.996,"schedule_new_appointment, propose_time_slot, confirm_existing_appointment, check_availability","0.996, 0.992, 0.88, 0.861"
20,I made an appointment for next Friday at 12. Thank you,schedule_new_appointment,0.997,"schedule_new_appointment, confirm_existing_appointment, propose_time_slot, check_availability","0.997, 0.978, 0.977, 0.666"
21,"Ana
I made an online appointment for Tuesday January 30th at 11am. This was for 5 year service and fixing one recall problem. I never received an 
email confirmation. Could you verify that I'm all set for this appointment? Also , how long will this maintenance and recall item take?
Bob",schedule_new_appointment,0.999,"schedule_new_appointment, propose_time_slot, inquire_appointment_duration, general_inquiry, confirm_existing_appointment","0.999, 0.995, 0.982, 0.959, 0.72"
22,I hi already made an appointment for today at 3:30 thank you,confirm_existing_appointment,0.999,"confirm_existing_appointment, propose_time_slot, check_availability","0.999, 0.862, 0.796"
23,Hi! I already made an appointment for February 6th at 1 pm,confirm_existing_appointment,0.999,"confirm_existing_appointment, propose_time_slot, check_availability","0.999, 0.967, 0.863"
24,"I made an appointment yesterday for Tuesday, January 30 at 5 PM. Would that be too late to get it done Tuesday afternoon? I just need hard 
drive changed and monitor cleaned, and put additional RAM",propose_time_slot,0.997,"propose_time_slot, schedule_new_appointment, confirm_existing_appointment","0.997, 0.945, 0.733"
25,11k+ and I have an appointment on Saturday,check_availability,0.928,"check_availability, propose_time_slot, schedule_new_appointment","0.928, 0.649, 0.595"
26,"Ana, I have an appointment for March 23",check_availability,0.955,check_availability,0.955
27,"8910, I have an appointment for service toward the end of April",check_availability,0.974,"check_availability, schedule_new_appointment","0.974, 0.82"
28,"Ana, I have an appointment Thursday 25th 12:00 noon 
Thanks",schedule_new_appointment,0.92,"schedule_new_appointment, check_availability, propose_time_slot","0.92, 0.893, 0.785"
29,"Ana, I now have a Lenovo Thinkpad X1 that I purchased in Dec 2023.
I called service department and have an appointment for first service on May 8th. 
You can text me anytime you want to.
Thank You",schedule_new_appointment,0.999,"schedule_new_appointment, confirm_existing_appointment, propose_time_slot","0.999, 0.997, 0.974"
30,"Have booked an appointment online for Monday. 
Thank you",schedule_new_appointment,0.999,"schedule_new_appointment, confirm_existing_appointment, propose_time_slot, check_availability","0.999, 0.996, 0.912, 0.716"
31,Hello Ana. I've already scheduled the 5 year service online for June 1st,confirm_existing_appointment,0.986,"confirm_existing_appointment, propose_time_slot","0.986, 0.963"
